models,precision,recall,f_measure,TP,FN,FP
IIS_Erlangen-TU_Munich,1,0.0,0,0,9,0
Muenster-TU_Munich,0.0,0.0,0,0,9,1
Hohenheim-Wuerzburg,0.07142857142857142,0.25,0.11111111111111112,1,3,13
FU_Berlin-Hohenheim,0.07692307692307693,0.2,0.1111111111111111,1,4,12
Cologne-Frankfurt,0.6,0.75,0.6666666666666665,6,2,4
Cologne-TU_Munich,0.35714285714285715,0.5555555555555556,0.43478260869565216,5,4,9
TU_Munich-Wuerzburg,1,0.0,0,0,4,0
Frankfurt-Potsdam,1,0.0,0,0,2,0
FU_Berlin-TU_Munich,0.0,0.0,0,0,6,10
Hohenheim-Potsdam,0.1,0.16666666666666666,0.125,1,5,9
IIS_Erlangen-Wuerzburg,0.5,0.3333333333333333,0.4,2,4,2
Muenster-Wuerzburg,0.5,0.3333333333333333,0.4,2,4,2
Muenster-Potsdam,0.5833333333333334,0.6363636363636364,0.6086956521739131,7,4,5
Potsdam-TU_Munich,1,0.0,0,0,6,0
IIS_Erlangen-Muenster,0.4117647058823529,0.5384615384615384,0.4666666666666667,7,6,10
Hohenheim-TU_Munich,0.0,0.0,0,0,6,8
IIS_Erlangen-Potsdam,0.8333333333333334,0.9523809523809523,0.888888888888889,20,1,4
Frankfurt-Wuerzburg,1,0.0,0,0,3,0
Frankfurt-Muenster,0.0,0.0,0,0,1,1
FU_Berlin-Potsdam,0.9333333333333333,1.0,0.9655172413793104,14,0,1
Cologne-Muenster,0.0,0.0,0,0,2,1
FU_Berlin-Muenster,0.4,0.8,0.5333333333333333,8,2,12
Cologne-IIS_Erlangen,1,0.0,0,0,2,0
Cologne-Potsdam,1,0.0,0,0,2,0
Cologne-Hohenheim,0.0,0.0,0,0,3,4
FU_Berlin-Wuerzburg,0.4,0.3333333333333333,0.3636363636363636,2,4,3
Cologne-FU_Berlin,0.0,0.0,0,0,4,6
Frankfurt-TU_Munich,0.8888888888888888,0.6666666666666666,0.761904761904762,8,4,1
Cologne-Wuerzburg,1,0.0,0,0,3,0
Frankfurt-IIS_Erlangen,1,0.0,0,0,2,0
FU_Berlin-IIS_Erlangen,0.8666666666666667,0.9285714285714286,0.896551724137931,13,1,2
Potsdam-Wuerzburg,0.5,0.3333333333333333,0.4,2,4,2
Hohenheim-IIS_Erlangen,0.2,0.4,0.26666666666666666,2,3,8
Frankfurt-FU_Berlin,0.0,0.0,0,0,2,3
Hohenheim-Muenster,0.2,0.375,0.26086956521739135,3,5,12
Frankfurt-Hohenheim,0.0,0.0,0,0,2,4
