models,precision,recall,f_measure,TP,FN,FP
IIS_Erlangen-TU_Munich,1,0.0,0,0,9,0
Muenster-TU_Munich,1,0.0,0,0,9,0
Hohenheim-Wuerzburg,0.6666666666666666,0.5,0.5714285714285715,2,2,1
FU_Berlin-Hohenheim,1,0.0,0,0,5,0
Cologne-Frankfurt,0.5,1.0,0.6666666666666666,8,0,8
Cologne-TU_Munich,0.375,1.0,0.5454545454545454,9,0,15
TU_Munich-Wuerzburg,0.3333333333333333,0.25,0.28571428571428575,1,3,2
Frankfurt-Potsdam,1,0.0,0,0,2,0
FU_Berlin-TU_Munich,1,0.0,0,0,6,0
Hohenheim-Potsdam,0.0,0.0,0,0,6,2
IIS_Erlangen-Wuerzburg,0.5,0.5,0.5,3,3,3
Muenster-Wuerzburg,0.4,0.3333333333333333,0.3636363636363636,2,4,3
Muenster-Potsdam,0.5,0.6363636363636364,0.56,7,4,7
Potsdam-TU_Munich,1,0.0,0,0,6,0
IIS_Erlangen-Muenster,0.45,0.6923076923076923,0.5454545454545455,9,4,11
Hohenheim-TU_Munich,0.42857142857142855,0.5,0.4615384615384615,3,3,4
IIS_Erlangen-Potsdam,0.5757575757575758,0.9047619047619048,0.7037037037037038,19,2,14
Frankfurt-Wuerzburg,0.5,0.3333333333333333,0.4,1,2,1
Frankfurt-Muenster,1,0.0,0,0,1,0
FU_Berlin-Potsdam,0.7,1.0,0.8235294117647058,14,0,6
Cologne-Muenster,1,0.0,0,0,2,0
FU_Berlin-Muenster,0.5454545454545454,0.6,0.5714285714285713,6,4,5
Cologne-IIS_Erlangen,1,0.0,0,0,2,0
Cologne-Potsdam,1,0.0,0,0,2,0
Cologne-Hohenheim,0.25,0.3333333333333333,0.28571428571428575,1,2,3
FU_Berlin-Wuerzburg,0.6,0.5,0.5454545454545454,3,3,2
Cologne-FU_Berlin,1,0.0,0,0,4,0
Frankfurt-TU_Munich,0.48,1.0,0.6486486486486487,12,0,13
Cologne-Wuerzburg,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2
Frankfurt-IIS_Erlangen,1,0.0,0,0,2,0
FU_Berlin-IIS_Erlangen,0.5909090909090909,0.9285714285714286,0.7222222222222223,13,1,9
Potsdam-Wuerzburg,0.6,0.5,0.5454545454545454,3,3,2
Hohenheim-IIS_Erlangen,0.3333333333333333,0.2,0.25,1,4,2
Frankfurt-FU_Berlin,1,0.0,0,0,2,0
Hohenheim-Muenster,0.42857142857142855,0.375,0.39999999999999997,3,5,4
Frankfurt-Hohenheim,0.4,1.0,0.5714285714285715,2,0,3
